district,votes NA,votes democrat,votes no affiliation,votes republican,state,year
District 1,395,,,199929,Florida,2016
District 11,177,151329,,,Florida,2016
District 12,392,,,216234,Florida,2016
District 13,,129598,,93444,Florida,2016
District 14,,,73299,158946,Florida,2016
District 15,,142432,,97862,Florida,2016
District 16,452,,,189514,Florida,2016
District 17,7,100091,,164146,Florida,2016
District 18,,97211,24314,113125,Florida,2016
District 19,,141305,,69875,Florida,2016
District 22,,101261,,116464,Florida,2016
District 23,,110937,,157910,Florida,2016
District 25,,83027,,152943,Florida,2016
District 27,256,,,181783,Florida,2016
District 28,47,,,179126,Florida,2016
District 3,,159288,,77192,Florida,2016
District 30,,119559,,101516,Florida,2016
District 34,4,128640,,75368,Florida,2016
District 36,,67003,,81972,Florida,2016
District 37,,87794,9979,81938,Florida,2016
District 38,,117948,38811,,Florida,2016
District 39,,82117,,97343,Florida,2016
District 40,,80551,17170,100170,Florida,2016
District 7,,98378,,174320,Florida,2016
District 8,,107990,,119895,Florida,2016
District 2,,,,incumbent uncontested,Florida,2016
District 4,,,,incumbent uncontested,Florida,2016
District 5,,,,incumbent uncontested,Florida,2016
District 6,,incumbent uncontested,,,Florida,2016
District 9,,,,incumbent uncontested,Florida,2016
District 10,,,,incumbent uncontested,Florida,2016
District 20,,,,incumbent uncontested,Florida,2016
District 21,,,,incumbent uncontested,Florida,2016
District 24,,,,incumbent uncontested,Florida,2016
District 26,,,,incumbent uncontested,Florida,2016
District 29,,incumbent uncontested,,,Florida,2016
District 31,,incumbent uncontested,,,Florida,2016
District 32,,incumbent uncontested,,,Florida,2016
District 33,,incumbent uncontested,,,Florida,2016
District 35,,incumbent uncontested,,,Florida,2016