district,num,votes democrat,votes libertarian,votes republican,state,year,incumbent
District 1,1,36759,,53138,North Carolina,2016,R
District 2,2,29505,,58032,North Carolina,2016,R
District 3,3,57507,,,North Carolina,2016,D
District 4,4,56584,,27038,North Carolina,2016,D
District 5,5,57882,,,North Carolina,2016,D
District 6,6,,,45391,North Carolina,2016,R
District 7,7,,,66035,North Carolina,2016,R
District 8,8,,,78274,North Carolina,2016,R
District 9,9,44743,,60174,North Carolina,2016,R
District 10,10,,,56610,North Carolina,2016,R
District 11,11,35394,,55765,North Carolina,2016,R
District 12,12,33426,,45228,North Carolina,2016,R
District 13,13,27940,,34126,North Carolina,2016,R
District 14,14,73870,,,North Carolina,2016,D
District 15,15,53905,5081,58999,North Carolina,2016,R
District 16,16,68842,,36530,North Carolina,2016,D
District 17,17,58063,5191,59105,North Carolina,2016,R
District 18,18,46105,,57121,North Carolina,2016,R
District 19,19,31149,,40359,North Carolina,2016,R
District 20,20,71865,16202,,North Carolina,2016,D
District 21,21,49081,,19338,North Carolina,2016,D
District 22,22,74693,,39198,North Carolina,2016,D
District 23,23,79520,,37322,North Carolina,2016,D
District 24,24,33456,,51833,North Carolina,2016,R
District 25,25,30416,,53621,North Carolina,2016,R
District 26,26,,,67908,North Carolina,2016,R
District 27,27,47731,,54512,North Carolina,2016,R
District 28,28,74232,,14265,North Carolina,2016,D
District 29,29,,,71648,North Carolina,2016,R
District 30,30,22435,,59602,North Carolina,2016,R
District 31,31,,,83599,North Carolina,2016,R
District 32,32,63691,,,North Carolina,2016,D
District 33,33,23809,,59367,North Carolina,2016,R
District 34,34,,,69470,North Carolina,2016,R
District 35,35,,,73032,North Carolina,2016,R
District 36,36,35664,,59584,North Carolina,2016,R
District 37,37,57804,,27279,North Carolina,2016,D
District 38,38,67059,,17764,North Carolina,2016,D
District 39,39,44655,,58739,North Carolina,2016,R
District 40,40,61481,,13032,North Carolina,2016,D
District 41,41,41453,4938,55519,North Carolina,2016,R
District 42,42,,,69301,North Carolina,2016,R
District 43,43,,,65054,North Carolina,2016,R
District 44,44,,20881,71114,North Carolina,2016,R
District 45,45,30559,,56758,North Carolina,2016,R
District 46,46,27106,,52997,North Carolina,2016,R
District 47,47,30364,,56021,North Carolina,2016,R
District 48,48,37596,,61455,North Carolina,2016,R
District 49,49,71828,24672,,North Carolina,2016,D
District 50,50,35476,,59028,North Carolina,2016,R